Variable,Description,Source
china_cpi,"Consumer Price Index: All Items for China, Index Jan 2015=100, Monthly, Not Seasonally Adjusted",FRED
uk_cpi,"Consumer Price Index of All Items in the United Kingdom, Index Jan 2015=100, Monthly, Not Seasonally Adjusted",FRED
us_cpi,"Consumer Price Index for All Urban Consumers: All Items in U.S. City Average, Index Jan 2015=100, Monthly, Seasonally Adjusted",FRED
china_ir,"Interest Rates, Discount Rate for China, Percent per Annum, Monthly, Not Seasonally Adjusted",FRED
us_ir,"Interest Rates, Discount Rate for United States, Percent per Annum, Monthly, Not Seasonally Adjusted",FRED
uk_ir,"Interest Rates, Discount Rate for United Kingdom, Percent per Annum, Monthly, Not Seasonally Adjusted",FRED
brent,"Global price of Brent Crude, U.S. Dollars per Barrel, Monthly, Not Seasonally Adjusted",FRED
wti,"Global price of WTI Crude, U.S. Dollars per Barrel, Monthly, Not Seasonally Adjusted",FRED
us_china_forex,"U.S. / China Foreign Exchange Rate, U.S. Dollar to One Chinese Yuan, Monthly, Not Seasonally Adjusted",FRED
us_uk_forex,"U.S. / U.K. Foreign Exchange Rate, U.S. Dollars to One British Pound, Monthly, Not Seasonally Adjusted",FRED
uk_bop,"United Kingdom Balance of Payments, Current Account Balance, U.S. Dollar Converted, Monthly, Seasonally Adjusted",OECD
us_bop,"United States Balance of Payments, Current Account Balance, U.S. Dollar Converted, Monthly, Seasonally Adjusted",OECD
china_bop,"China Balance of Payments, Current Account Balance, U.S. Dollar Converted, Monthly, Seasonally Adjusted",OECD
